in_000,in_001,in_010,in_011,in_100,in_101,in_110,in_111,circuit_complexity
10,11,01,01,10,11,10,01,3
11,11,01,01,10,11,10,01,2
10,10,00,00,11,11,10,01,4
11,10,00,00,11,11,10,01,5
10,11,00,00,11,11,10,01,6
11,11,00,00,11,11,10,01,4
10,10,01,00,11,11,10,01,5
11,10,01,00,11,11,10,01,5
10,11,01,00,11,11,10,01,7
11,11,01,00,11,11,10,01,5
10,10,00,01,11,11,10,01,5
11,10,00,01,11,11,10,01,6
10,11,00,01,11,11,10,01,4
11,11,00,01,11,11,10,01,3
10,10,01,01,11,11,10,01,4
11,10,01,01,11,11,10,01,5
10,11,01,01,11,11,10,01,5
11,11,01,01,11,11,10,01,3
10,10,00,00,10,10,11,01,3
11,10,00,00,10,10,11,01,6
10,11,00,00,10,10,11,01,6
11,11,00,00,10,10,11,01,5
10,10,01,00,10,10,11,01,4
11,10,01,00,10,10,11,01,5
10,11,01,00,10,10,11,01,6
11,11,01,00,10,10,11,01,6
10,10,00,01,10,10,11,01,4
11,10,00,01,10,10,11,01,6
10,11,00,01,10,10,11,01,5
11,11,00,01,10,10,11,01,5
10,10,01,01,10,10,11,01,2
11,10,01,01,10,10,11,01,4
10,11,01,01,10,10,11,01,4
11,11,01,01,10,10,11,01,3
10,10,00,00,11,10,11,01,4
11,10,00,00,11,10,11,01,5
10,11,00,00,11,10,11,01,6
11,11,00,00,11,10,11,01,6
10,10,01,00,11,10,11,01,5
11,10,01,00,11,10,11,01,4
10,11,01,00,11,10,11,01,7
11,11,01,00,11,10,11,01,6
10,10,00,01,11,10,11,01,4
11,10,00,01,11,10,11,01,5
10,11,00,01,11,10,11,01,5
11,11,00,01,11,10,11,01,6
10,10,01,01,11,10,11,01,3
11,10,01,01,11,10,11,01,3
10,11,01,01,11,10,11,01,5
11,11,01,01,11,10,11,01,4
10,10,00,00,10,11,11,01,4
11,10,00,00,10,11,11,01,6
10,11,00,00,10,11,11,01,5
11,11,00,00,10,11,11,01,5
10,10,01,00,10,11,11,01,5
11,10,01,00,10,11,11,01,5
10,11,01,00,10,11,11,01,6
11,11,01,00,10,11,11,01,6
10,10,00,01,10,11,11,01,6
11,10,00,01,10,11,11,01,7
10,11,00,01,10,11,11,01,4
11,11,00,01,10,11,11,01,5
10,10,01,01,10,11,11,01,4
11,10,01,01,10,11,11,01,5
10,11,01,01,10,11,11,01,3
11,11,01,01,10,11,11,01,3
10,10,00,00,11,11,11,01,2
11,10,00,00,11,11,11,01,4
10,11,00,00,11,11,11,01,4
11,11,00,00,11,11,11,01,3
10,10,01,00,11,11,11,01,4
11,10,01,00,11,11,11,01,3
10,11,01,00,11,11,11,01,6
11,11,01,00,11,11,11,01,4
10,10,00,01,11,11,11,01,4
11,10,00,01,11,11,11,01,6
10,11,00,01,11,11,11,01,3
11,11,00,01,11,11,11,01,3
10,10,01,01,11,11,11,01,3
11,10,01,01,11,11,11,01,4
10,11,01,01,11,11,11,01,4
11,11,01,01,11,11,11,01,2
00,00,10,00,10,10,10,00,3
01,00,10,00,10,10,10,00,4
00,01,10,00,10,10,10,00,4
01,01,10,00,10,10,10,00,3
00,00,11,00,10,10,10,00,4
01,00,11,00,10,10,10,00,4
00,01,11,00,10,10,10,00,6
01,01,11,00,10,10,10,00,4
00,00,10,01,10,10,10,00,4
01,00,10,01,10,10,10,00,6
00,01,10,01,10,10,10,00,4
01,01,10,01,10,10,10,00,4
00,00,11,01,10,10,10,00,4
01,00,11,01,10,10,10,00,5
00,01,11,01,10,10,10,00,5
01,01,11,01,10,10,10,00,3
00,00,10,00,11,10,10,00,4
01,00,10,00,11,10,10,00,4
00,01,10,00,11,10,10,00,7
01,01,10,00,11,10,10,00,5
00,00,11,00,11,10,10,00,6
01,00,11,00,11,10,10,00,5
00,01,11,00,11,10,10,00,8
01,01,11,00,11,10,10,00,6
00,00,10,01,11,10,10,00,7
01,00,10,01,11,10,10,00,6
00,01,10,01,11,10,10,00,6
01,01,10,01,11,10,10,00,5
00,00,11,01,11,10,10,00,6
01,00,11,01,11,10,10,00,6
00,01,11,01,11,10,10,00,7
01,01,11,01,11,10,10,00,5
00,00,10,00,10,11,10,00,4
01,00,10,00,10,11,10,00,6
00,01,10,00,10,11,10,00,4
01,01,10,00,10,11,10,00,5
00,00,11,00,10,11,10,00,5
01,00,11,00,10,11,10,00,6
00,01,11,00,10,11,10,00,6
01,01,11,00,10,11,10,00,5
00,00,10,01,10,11,10,00,6
01,00,10,01,10,11,10,00,8
00,01,10,01,10,11,10,00,5
01,01,10,01,10,11,10,00,6
00,00,11,01,10,11,10,00,6
01,00,11,01,10,11,10,00,7
00,01,11,01,10,11,10,00,6
01,01,11,01,10,11,10,00,5
00,00,10,00,11,11,10,00,3
01,00,10,00,11,11,10,00,5
00,01,10,00,11,11,10,00,5
01,01,10,00,11,11,10,00,3
00,00,11,00,11,11,10,00,5
01,00,11,00,11,11,10,00,5
00,01,11,00,11,11,10,00,7
01,01,11,00,11,11,10,00,5
00,00,10,01,11,11,10,00,6
01,00,10,01,11,11,10,00,7
00,01,10,01,11,11,10,00,5
01,01,10,01,11,11,10,00,5
00,00,11,01,11,11,10,00,5
01,00,11,01,11,11,10,00,6
00,01,11,01,11,11,10,00,6
01,01,11,01,11,11,10,00,4
00,00,10,00,10,10,11,00,4
01,00,10,00,10,10,11,00,6
00,01,10,00,10,10,11,00,7
01,01,10,00,10,10,11,00,6
00,00,11,00,10,10,11,00,3
01,00,11,00,10,10,11,00,4
00,01,11,00,10,10,11,00,6
01,01,11,00,10,10,11,00,5
00,00,10,01,10,10,11,00,7
01,00,10,01,10,10,11,00,8
00,01,10,01,10,10,11,00,6
01,01,10,01,10,10,11,00,6
00,00,11,01,10,10,11,00,5
01,00,11,01,10,10,11,00,6
00,01,11,01,10,10,11,00,5
01,01,11,01,10,10,11,00,4
00,00,10,00,11,10,11,00,4
01,00,10,00,11,10,11,00,5
00,01,10,00,11,10,11,00,6
01,01,10,00,11,10,11,00,5
00,00,11,00,11,10,11,00,4
01,00,11,00,11,10,11,00,3
00,01,11,00,11,10,11,00,6
01,01,11,00,11,10,11,00,4
00,00,10,01,11,10,11,00,6
01,00,10,01,11,10,11,00,7
00,01,10,01,11,10,11,00,6
01,01,10,01,11,10,11,00,6
00,00,11,01,11,10,11,00,5
01,00,11,01,11,10,11,00,5
00,01,11,01,11,10,11,00,6
01,01,11,01,11,10,11,00,4
00,00,10,00,10,11,11,00,6
01,00,10,00,10,11,11,00,8
00,01,10,00,10,11,11,00,6
01,01,10,00,10,11,11,00,7
00,00,11,00,10,11,11,00,5
01,00,11,00,10,11,11,00,6
00,01,11,00,10,11,11,00,5
01,01,11,00,10,11,11,00,6
00,00,10,01,10,11,11,00,8
01,00,10,01,10,11,11,00,8
00,01,10,01,10,11,11,00,7
01,01,10,01,10,11,11,00,8
00,00,11,01,10,11,11,00,7
01,00,11,01,10,11,11,00,8
00,01,11,01,10,11,11,00,6
01,01,11,01,10,11,11,00,6
00,00,10,00,11,11,11,00,4
01,00,10,00,11,11,11,00,6
00,01,10,00,11,11,11,00,5
01,01,10,00,11,11,11,00,5
00,00,11,00,11,11,11,00,3
01,00,11,00,11,11,11,00,4
00,01,11,00,11,11,11,00,5
01,01,11,00,11,11,11,00,3
00,00,10,01,11,11,11,00,6
01,00,10,01,11,11,11,00,8
00,01,10,01,11,11,11,00,6
01,01,10,01,11,11,11,00,6
00,00,11,01,11,11,11,00,5
01,00,11,01,11,11,11,00,6
00,01,11,01,11,11,11,00,5
01,01,11,01,11,11,11,00,4
00,00,10,00,10,10,10,01,4
01,00,10,00,10,10,10,01,5
00,01,10,00,10,10,10,01,6
01,01,10,00,10,10,10,01,5
00,00,11,00,10,10,10,01,6
01,00,11,00,10,10,10,01,6
00,01,11,00,10,10,10,01,8
01,01,11,00,10,10,10,01,6
00,00,10,01,10,10,10,01,3
01,00,10,01,10,10,10,01,5
00,01,10,01,10,10,10,01,4
01,01,10,01,10,10,10,01,3
00,00,11,01,10,10,10,01,5
01,00,11,01,10,10,10,01,5
00,01,11,01,10,10,10,01,6
01,01,11,01,10,10,10,01,4
00,00,10,00,11,10,10,01,6
01,00,10,00,11,10,10,01,6
00,01,10,00,11,10,10,01,8
01,01,10,00,11,10,10,01,7
00,00,11,00,11,10,10,01,8
01,00,11,00,11,10,10,01,7
00,01,11,00,11,10,10,01,8
01,01,11,00,11,10,10,01,8
00,00,10,01,11,10,10,01,6
01,00,10,01,11,10,10,01,5
00,01,10,01,11,10,10,01,6
01,01,10,01,11,10,10,01,5
00,00,11,01,11,10,10,01,7
01,00,11,01,11,10,10,01,6
00,01,11,01,11,10,10,01,8
01,01,11,01,11,10,10,01,6
00,00,10,00,10,11,10,01,4
01,00,10,00,10,11,10,01,6
00,01,10,00,10,11,10,01,5
01,01,10,00,10,11,10,01,5
00,00,11,00,10,11,10,01,6
01,00,11,00,10,11,10,01,6
00,01,11,00,10,11,10,01,7
01,01,11,00,10,11,10,01,6
00,00,10,01,10,11,10,01,4
01,00,10,01,10,11,10,01,6
00,01,10,01,10,11,10,01,3
01,01,10,01,10,11,10,01,4
00,00,11,01,10,11,10,01,5
01,00,11,01,10,11,10,01,6
00,01,11,01,10,11,10,01,5
01,01,11,01,10,11,10,01,4
00,00,10,00,11,11,10,01,4
01,00,10,00,11,11,10,01,5
00,01,10,00,11,11,10,01,6
01,01,10,00,11,11,10,01,5
00,00,11,00,11,11,10,01,6
01,00,11,00,11,11,10,01,6
00,01,11,00,11,11,10,01,8
01,01,11,00,11,11,10,01,7
00,00,10,01,11,11,10,01,5
01,00,10,01,11,11,10,01,6
00,01,10,01,11,11,10,01,4
01,01,10,01,11,11,10,01,3
00,00,11,01,11,11,10,01,6
01,00,11,01,11,11,10,01,7
00,01,11,01,11,11,10,01,6
01,01,11,01,11,11,10,01,4
00,00,10,00,10,10,11,01,4
01,00,10,00,10,10,11,01,6
00,01,10,00,10,10,11,01,6
01,01,10,00,10,10,11,01,5
00,00,11,00,10,10,11,01,5
01,00,11,00,10,10,11,01,5
00,01,11,00,10,10,11,01,7
01,01,11,00,10,10,11,01,6
00,00,10,01,10,10,11,01,5
01,00,10,01,10,10,11,01,7
00,01,10,01,10,10,11,01,5
01,01,10,01,10,10,11,01,5
00,00,11,01,10,10,11,01,3
01,00,11,01,10,10,11,01,5
00,01,11,01,10,10,11,01,5
01,01,11,01,10,10,11,01,3
00,00,10,00,11,10,11,01,5
01,00,10,00,11,10,11,01,6
00,01,10,00,11,10,11,01,7
01,01,10,00,11,10,11,01,6
00,00,11,00,11,10,11,01,6
01,00,11,00,11,10,11,01,5
00,01,11,00,11,10,11,01,8
01,01,11,00,11,10,11,01,6
00,00,10,01,11,10,11,01,5
01,00,10,01,11,10,11,01,6
00,01,10,01,11,10,11,01,6
01,01,10,01,11,10,11,01,5
00,00,11,01,11,10,11,01,5
01,00,11,01,11,10,11,01,4
00,01,11,01,11,10,11,01,6
01,01,11,01,11,10,11,01,4
00,00,10,00,10,11,11,01,5
01,00,10,00,10,11,11,01,7
00,01,10,00,10,11,11,01,6
01,01,10,00,10,11,11,01,6
00,00,11,00,10,11,11,01,5
01,00,11,00,10,11,11,01,6
00,01,11,00,10,11,11,01,6
01,01,11,00,10,11,11,01,7
00,00,10,01,10,11,11,01,6
01,00,10,01,10,11,11,01,8
00,01,10,01,10,11,11,01,5
01,01,10,01,10,11,11,01,6
00,00,11,01,10,11,11,01,5
01,00,11,01,10,11,11,01,7
00,01,11,01,10,11,11,01,4
01,01,11,01,10,11,11,01,4
00,00,10,00,11,11,11,01,3
01,00,10,00,11,11,11,01,5
00,01,10,00,11,11,11,01,5
01,01,10,00,11,11,11,01,4
00,00,11,00,11,11,11,01,4
01,00,11,00,11,11,11,01,4
00,01,11,00,11,11,11,01,6
01,01,11,00,11,11,11,01,4
00,00,10,01,11,11,11,01,4
01,00,10,01,11,11,11,01,6
00,01,10,01,11,11,11,01,4
01,01,10,01,11,11,11,01,4
00,00,11,01,11,11,11,01,3
01,00,11,01,11,11,11,01,4
00,01,11,01,11,11,11,01,4
01,01,11,01,11,11,11,01,3
10,00,10,00,10,10,10,00,2
11,00,10,00,10,10,10,00,4
10,01,10,00,10,10,10,00,3
11,01,10,00,10,10,10,00,3
10,00,11,00,10,10,10,00,4
11,00,11,00,10,10,10,00,3
10,01,11,00,10,10,10,00,6
11,01,11,00,10,10,10,00,4
10,00,10,01,10,10,10,00,4
11,00,10,01,10,10,10,00,6
10,01,10,01,10,10,10,00,3
11,01,10,01,10,10,10,00,4
10,00,11,01,10,10,10,00,3
11,00,11,01,10,10,10,00,4
10,01,11,01,10,10,10,00,4
11,01,11,01,10,10,10,00,2
10,00,10,00,11,10,10,00,3
11,00,10,00,11,10,10,00,3
10,01,10,00,11,10,10,00,5
11,01,10,00,11,10,10,00,4
10,00,11,00,11,10,10,00,5
11,00,11,00,11,10,10,00,4
10,01,11,00,11,10,10,00,7
11,01,11,00,11,10,10,00,6
10,00,10,01,11,10,10,00,6
11,00,10,01,11,10,10,00,6
10,01,10,01,11,10,10,00,5
11,01,10,01,11,10,10,00,5
10,00,11,01,11,10,10,00,5
11,00,11,01,11,10,10,00,5
10,01,11,01,11,10,10,00,6
11,01,11,01,11,10,10,00,4
10,00,10,00,10,11,10,00,3
11,00,10,00,10,11,10,00,5
10,01,10,00,10,11,10,00,3
11,01,10,00,10,11,10,00,4
10,00,11,00,10,11,10,00,5
11,00,11,00,10,11,10,00,4
10,01,11,00,10,11,10,00,6
11,01,11,00,10,11,10,00,5
10,00,10,01,10,11,10,00,5
11,00,10,01,10,11,10,00,7
10,01,10,01,10,11,10,00,4
11,01,10,01,10,11,10,00,6
10,00,11,01,10,11,10,00,5
11,00,11,01,10,11,10,00,5
10,01,11,01,10,11,10,00,5
11,01,11,01,10,11,10,00,4
10,00,10,00,11,11,10,00,2
11,00,10,00,11,11,10,00,3
10,01,10,00,11,11,10,00,4
11,01,10,00,11,11,10,00,2
10,00,11,00,11,11,10,00,5
11,00,11,00,11,11,10,00,4
10,01,11,00,11,11,10,00,6
11,01,11,00,11,11,10,00,4
10,00,10,01,11,11,10,00,5
11,00,10,01,11,11,10,00,5
10,01,10,01,11,11,10,00,4
11,01,10,01,11,11,10,00,4
10,00,11,01,11,11,10,00,4
11,00,11,01,11,11,10,00,5
10,01,11,01,11,11,10,00,5
11,01,11,01,11,11,10,00,3
10,00,10,00,10,10,11,00,4
11,00,10,00,10,10,11,00,5
10,01,10,00,10,10,11,00,6
11,01,10,00,10,10,11,00,5
10,00,11,00,10,10,11,00,3
11,00,11,00,10,10,11,00,3
10,01,11,00,10,10,11,00,5
11,01,11,00,10,10,11,00,4
10,00,10,01,10,10,11,00,6
11,00,10,01,10,10,11,00,7
10,01,10,01,10,10,11,00,6
11,01,10,01,10,10,11,00,6
10,00,11,01,10,10,11,00,4
11,00,11,01,10,10,11,00,5
10,01,11,01,10,10,11,00,5
11,01,11,01,10,10,11,00,4
10,00,10,00,11,10,11,00,3
11,00,10,00,11,10,11,00,4
10,01,10,00,11,10,11,00,5
11,01,10,00,11,10,11,00,5
10,00,11,00,11,10,11,00,4
11,00,11,00,11,10,11,00,2
10,01,11,00,11,10,11,00,6
11,01,11,00,11,10,11,00,4
10,00,10,01,11,10,11,00,6
11,00,10,01,11,10,11,00,6
10,01,10,01,11,10,11,00,5
11,01,10,01,11,10,11,00,6
10,00,11,01,11,10,11,00,5
11,00,11,01,11,10,11,00,4
10,01,11,01,11,10,11,00,6
11,01,11,01,11,10,11,00,3
10,00,10,00,10,11,11,00,5
11,00,10,00,10,11,11,00,6
10,01,10,00,10,11,11,00,6
11,01,10,00,10,11,11,00,6
10,00,11,00,10,11,11,00,4
11,00,11,00,10,11,11,00,4
10,01,11,00,10,11,11,00,5
11,01,11,00,10,11,11,00,5
10,00,10,01,10,11,11,00,7
11,00,10,01,10,11,11,00,7
10,01,10,01,10,11,11,00,6
11,01,10,01,10,11,11,00,7
10,00,11,01,10,11,11,00,5
11,00,11,01,10,11,11,00,6
10,01,11,01,10,11,11,00,5
11,01,11,01,10,11,11,00,5
10,00,10,00,11,11,11,00,3
11,00,10,00,11,11,11,00,4
10,01,10,00,11,11,11,00,5
11,01,10,00,11,11,11,00,4
10,00,11,00,11,11,11,00,4
11,00,11,00,11,11,11,00,2
10,01,11,00,11,11,11,00,6
11,01,11,00,11,11,11,00,3
10,00,10,01,11,11,11,00,5
11,00,10,01,11,11,11,00,6
10,01,10,01,11,11,11,00,5
11,01,10,01,11,11,11,00,6
10,00,11,01,11,11,11,00,5
11,00,11,01,11,11,11,00,4
10,01,11,01,11,11,11,00,6
11,01,11,01,11,11,11,00,3
10,00,10,00,10,10,10,01,3
11,00,10,00,10,10,10,01,6
10,01,10,00,10,10,10,01,4
11,01,10,00,10,10,10,01,5
10,00,11,00,10,10,10,01,6
11,00,11,00,10,10,10,01,5
10,01,11,00,10,10,10,01,6
11,01,11,00,10,10,10,01,5
10,00,10,01,10,10,10,01,3
11,00,10,01,10,10,10,01,6
10,01,10,01,10,10,10,01,2
11,01,10,01,10,10,10,01,4
10,00,11,01,10,10,10,01,4
11,00,11,01,10,10,10,01,5
10,01,11,01,10,10,10,01,4
11,01,11,01,10,10,10,01,3
10,00,10,00,11,10,10,01,5
11,00,10,00,11,10,10,01,5
10,01,10,00,11,10,10,01,6
11,01,10,00,11,10,10,01,5
10,00,11,00,11,10,10,01,7
11,00,11,00,11,10,10,01,6
10,01,11,00,11,10,10,01,7
11,01,11,00,11,10,10,01,7
10,00,10,01,11,10,10,01,5
11,00,10,01,11,10,10,01,5
10,01,10,01,11,10,10,01,4
11,01,10,01,11,10,10,01,4
10,00,11,01,11,10,10,01,6
11,00,11,01,11,10,10,01,6
10,01,11,01,11,10,10,01,6
11,01,11,01,11,10,10,01,5
10,00,10,00,10,11,10,01,3
11,00,10,00,10,11,10,01,6
10,01,10,00,10,11,10,01,4
11,01,10,00,10,11,10,01,5
10,00,11,00,10,11,10,01,6
11,00,11,00,10,11,10,01,5
10,01,11,00,10,11,10,01,6
11,01,11,00,10,11,10,01,6
10,00,10,01,10,11,10,01,4
11,00,10,01,10,11,10,01,6
10,01,10,01,10,11,10,01,2
11,01,10,01,10,11,10,01,4
10,00,11,01,10,11,10,01,5
11,00,11,01,10,11,10,01,5
10,01,11,01,10,11,10,01,4
11,01,11,01,10,11,10,01,3
10,00,10,00,11,11,10,01,4
11,00,10,00,11,11,10,01,5
10,01,10,00,11,11,10,01,5
11,01,10,00,11,11,10,01,4
10,00,11,00,11,11,10,01,6
11,00,11,00,11,11,10,01,6
10,01,11,00,11,11,10,01,7
11,01,11,00,11,11,10,01,6
10,00,10,01,11,11,10,01,4
11,00,10,01,11,11,10,01,5
10,01,10,01,11,11,10,01,3
11,01,10,01,11,11,10,01,3
10,00,11,01,11,11,10,01,5
11,00,11,01,11,11,10,01,6
10,01,11,01,11,11,10,01,5
11,01,11,01,11,11,10,01,4
10,00,10,00,10,10,11,01,3
11,00,10,00,10,10,11,01,5
10,01,10,00,10,10,11,01,5
11,01,10,00,10,10,11,01,4
10,00,11,00,10,10,11,01,4
11,00,11,00,10,10,11,01,4
10,01,11,00,10,10,11,01,5
11,01,11,00,10,10,11,01,5
10,00,10,01,10,10,11,01,4
11,00,10,01,10,10,11,01,6
10,01,10,01,10,10,11,01,4
11,01,10,01,10,10,11,01,5
10,00,11,01,10,10,11,01,2
11,00,11,01,10,10,11,01,4
10,01,11,01,10,10,11,01,3
11,01,11,01,10,10,11,01,2
10,00,10,00,11,10,11,01,4
11,00,10,00,11,10,11,01,5
10,01,10,00,11,10,11,01,5
11,01,10,00,11,10,11,01,5
10,00,11,00,11,10,11,01,6
11,00,11,00,11,10,11,01,4
10,01,11,00,11,10,11,01,7
11,01,11,00,11,10,11,01,5
10,00,10,01,11,10,11,01,5
11,00,10,01,11,10,11,01,6
10,01,10,01,11,10,11,01,4
11,01,10,01,11,10,11,01,5
10,00,11,01,11,10,11,01,4
11,00,11,01,11,10,11,01,3
10,01,11,01,11,10,11,01,5
11,01,11,01,11,10,11,01,3
10,00,10,00,10,11,11,01,4
11,00,10,00,10,11,11,01,6
10,01,10,00,10,11,11,01,5
11,01,10,00,10,11,11,01,5
10,00,11,00,10,11,11,01,5
11,00,11,00,10,11,11,01,5
10,01,11,00,10,11,11,01,6
11,01,11,00,10,11,11,01,6
10,00,10,01,10,11,11,01,6
11,00,10,01,10,11,11,01,7
10,01,10,01,10,11,11,01,4
11,01,10,01,10,11,11,01,5
10,00,11,01,10,11,11,01,4
11,00,11,01,10,11,11,01,5
10,01,11,01,10,11,11,01,3
11,01,11,01,10,11,11,01,3
10,00,10,00,11,11,11,01,2
11,00,10,00,11,11,11,01,4
10,01,10,00,11,11,11,01,4
11,01,10,00,11,11,11,01,3
10,00,11,00,11,11,11,01,4
11,00,11,00,11,11,11,01,3
10,01,11,00,11,11,11,01,6
11,01,11,00,11,11,11,01,4
10,00,10,01,11,11,11,01,4
11,00,10,01,11,11,11,01,6
10,01,10,01,11,11,11,01,3
11,01,10,01,11,11,11,01,4
10,00,11,01,11,11,11,01,3
11,00,11,01,11,11,11,01,3
10,01,11,01,11,11,11,01,4
11,01,11,01,11,11,11,01,2
00,10,10,00,10,10,10,00,4
01,10,10,00,10,10,10,00,4
00,11,10,00,10,10,10,00,5
01,11,10,00,10,10,10,00,4
00,10,11,00,10,10,10,00,5
01,10,11,00,10,10,10,00,4
00,11,11,00,10,10,10,00,5
01,11,11,00,10,10,10,00,5
00,10,10,01,10,10,10,00,5
01,10,10,01,10,10,10,00,5
00,11,10,01,10,10,10,00,5
01,11,10,01,10,10,10,00,5
00,10,11,01,10,10,10,00,5
01,10,11,01,10,10,10,00,5
00,11,11,01,10,10,10,00,5
01,11,11,01,10,10,10,00,4
00,10,10,00,11,10,10,00,5
01,10,10,00,11,10,10,00,4
00,11,10,00,11,10,10,00,6
01,11,10,00,11,10,10,00,6
00,10,11,00,11,10,10,00,6
01,10,11,00,11,10,10,00,6
00,11,11,00,11,10,10,00,6
01,11,11,00,11,10,10,00,6
00,10,10,01,11,10,10,00,7
01,10,10,01,11,10,10,00,6
00,11,10,01,11,10,10,00,7
01,11,10,01,11,10,10,00,6
00,10,11,01,11,10,10,00,7
01,10,11,01,11,10,10,00,6
00,11,11,01,11,10,10,00,6
01,11,11,01,11,10,10,00,5
00,10,10,00,10,11,10,00,5
01,10,10,00,10,11,10,00,7
00,11,10,00,10,11,10,00,4
01,11,10,00,10,11,10,00,5
00,10,11,00,10,11,10,00,7
01,10,11,00,10,11,10,00,7
00,11,11,00,10,11,10,00,6
01,11,11,00,10,11,10,00,6
00,10,10,01,10,11,10,00,7
01,10,10,01,10,11,10,00,7
00,11,10,01,10,11,10,00,6
01,11,10,01,10,11,10,00,6
00,10,11,01,10,11,10,00,6
01,10,11,01,10,11,10,00,7
00,11,11,01,10,11,10,00,6
01,11,11,01,10,11,10,00,5
00,10,10,00,11,11,10,00,5
01,10,10,00,11,11,10,00,5
00,11,10,00,11,11,10,00,4
01,11,10,00,11,11,10,00,4
00,10,11,00,11,11,10,00,7
01,10,11,00,11,11,10,00,6
00,11,11,00,11,11,10,00,6
01,11,11,00,11,11,10,00,5
00,10,10,01,11,11,10,00,7
01,10,10,01,11,11,10,00,7
00,11,10,01,11,11,10,00,6
01,11,10,01,11,11,10,00,6
00,10,11,01,11,11,10,00,6
01,10,11,01,11,11,10,00,7
00,11,11,01,11,11,10,00,6
01,11,11,01,11,11,10,00,5
00,10,10,00,10,10,11,00,5
01,10,10,00,10,10,11,00,7
00,11,10,00,10,10,11,00,7
01,11,10,00,10,10,11,00,7
00,10,11,00,10,10,11,00,4
01,10,11,00,10,10,11,00,5
00,11,11,00,10,10,11,00,6
01,11,11,00,10,10,11,00,6
00,10,10,01,10,10,11,00,7
01,10,10,01,10,10,11,00,7
00,11,10,01,10,10,11,00,6
01,11,10,01,10,10,11,00,7
00,10,11,01,10,10,11,00,6
01,10,11,01,10,10,11,00,6
00,11,11,01,10,10,11,00,6
01,11,11,01,10,10,11,00,5
00,10,10,00,11,10,11,00,5
01,10,10,00,11,10,11,00,5
00,11,10,00,11,10,11,00,7
01,11,10,00,11,10,11,00,6
00,10,11,00,11,10,11,00,4
01,10,11,00,11,10,11,00,4
00,11,11,00,11,10,11,00,6
01,11,11,00,11,10,11,00,5
00,10,10,01,11,10,11,00,7
01,10,10,01,11,10,11,00,7
00,11,10,01,11,10,11,00,6
01,11,10,01,11,10,11,00,7
00,10,11,01,11,10,11,00,6
01,10,11,01,11,10,11,00,6
00,11,11,01,11,10,11,00,6
01,11,11,01,11,10,11,00,5
00,10,10,00,10,11,11,00,6
01,10,10,00,10,11,11,00,7
00,11,10,00,10,11,11,00,7
01,11,10,00,10,11,11,00,7
00,10,11,00,10,11,11,00,7
01,10,11,00,10,11,11,00,7
00,11,11,00,10,11,11,00,5
01,11,11,00,10,11,11,00,6
00,10,10,01,10,11,11,00,8
01,10,10,01,10,11,11,00,7
00,11,10,01,10,11,11,00,8
01,11,10,01,10,11,11,00,8
00,10,11,01,10,11,11,00,8
01,10,11,01,10,11,11,00,8
00,11,11,01,10,11,11,00,6
01,11,11,01,10,11,11,00,6
00,10,10,00,11,11,11,00,5
01,10,10,00,11,11,11,00,6
00,11,10,00,11,11,11,00,5
01,11,10,00,11,11,11,00,6
00,10,11,00,11,11,11,00,5
01,10,11,00,11,11,11,00,6
00,11,11,00,11,11,11,00,4
01,11,11,00,11,11,11,00,4
00,10,10,01,11,11,11,00,7
01,10,10,01,11,11,11,00,7
00,11,10,01,11,11,11,00,6
01,11,10,01,11,11,11,00,7
00,10,11,01,11,11,11,00,6
01,10,11,01,11,11,11,00,7
00,11,11,01,11,11,11,00,6
01,11,11,01,11,11,11,00,5
00,10,10,00,10,10,10,01,5
01,10,10,00,10,10,10,01,6
00,11,10,00,10,10,10,01,7
01,11,10,00,10,10,10,01,6
00,10,11,00,10,10,10,01,7
01,10,11,00,10,10,10,01,6
00,11,11,00,10,10,10,01,7
01,11,11,00,10,10,10,01,7
00,10,10,01,10,10,10,01,4
01,10,10,01,10,10,10,01,4
00,11,10,01,10,10,10,01,6
01,11,10,01,10,10,10,01,5
00,10,11,01,10,10,10,01,6
01,10,11,01,10,10,10,01,5
00,11,11,01,10,10,10,01,6
01,11,11,01,10,10,10,01,5
00,10,10,00,11,10,10,01,6
01,10,10,00,11,10,10,01,6
00,11,10,00,11,10,10,01,8
01,11,10,00,11,10,10,01,8
00,10,11,00,11,10,10,01,8
01,10,11,00,11,10,10,01,8
00,11,11,00,11,10,10,01,7
01,11,11,00,11,10,10,01,8
00,10,10,01,11,10,10,01,6
01,10,10,01,11,10,10,01,5
00,11,10,01,11,10,10,01,7
01,11,10,01,11,10,10,01,7
00,10,11,01,11,10,10,01,7
01,10,11,01,11,10,10,01,7
00,11,11,01,11,10,10,01,7
01,11,11,01,11,10,10,01,6
00,10,10,00,10,11,10,01,5
01,10,10,00,10,11,10,01,6
00,11,10,00,10,11,10,01,6
01,11,10,00,10,11,10,01,6
00,10,11,00,10,11,10,01,7
01,10,11,00,10,11,10,01,6
00,11,11,00,10,11,10,01,7
01,11,11,00,10,11,10,01,7
00,10,10,01,10,11,10,01,5
01,10,10,01,10,11,10,01,6
00,11,10,01,10,11,10,01,4
01,11,10,01,10,11,10,01,4
00,10,11,01,10,11,10,01,6
01,10,11,01,10,11,10,01,7
00,11,11,01,10,11,10,01,5
01,11,11,01,10,11,10,01,5
00,10,10,00,11,11,10,01,5
01,10,10,00,11,11,10,01,6
00,11,10,00,11,11,10,01,6
01,11,10,00,11,11,10,01,6
00,10,11,00,11,11,10,01,7
